"ID","RLH"
1,0.736704285670352
2,0.808621564827288
3,0.709313733039488
4,0.495901025871013
5,0.69631576742303
6,0.656103466879929
7,0.755436061254874
8,0.77209993738086
9,0.383253487783551
10,0.676407376940017
11,0.333282917344497
12,0.772555024445711
13,0.47953221351391
14,0.547622684646615
15,0.803311558710108
16,0.873154671211568
17,0.834192102683668
18,0.863395303412759
19,0.671855580069208
20,0.422469158380256
21,0.300991536774318
22,0.778851981025748
23,0.643036384397711
24,0.768372079507002
25,0.74109959922491
26,0.403630685386807
27,0.455815370278625
28,0.316996028724318
29,0.679510181378788
30,0.741924985357855
31,0.616767042071999
32,0.679968299770236
33,0.681844549809476
34,0.277182129900358
35,0.616065365096771
36,0.644517188127928
37,0.912318656379385
38,0.688942732142907
39,0.435303455205093
40,0.83701796727692
41,0.619022005751432
42,0.555803487231328
43,0.670174582997549
44,0.659029082344582
45,0.767798545041174
46,0.747032684870666
47,0.811808439135325
48,0.745243497778737
49,0.720184954849267
50,0.242440050601222
51,0.756129462797611
52,0.64936339980708
53,0.815220480625035
54,0.33683365485907
55,0.781153133230845
56,0.550151830458798
57,0.644694849954737
58,0.688531234872557
59,0.81161378223744
60,0.790955426235987
61,0.783704840676524
62,0.676810443778489
63,0.50045395804227
64,0.753346429105037
65,0.80727020243014
66,0.696036382804775
67,0.481386792614762
68,0.702435619908932
69,0.716641786821736
70,0.399630230601438
71,0.717229799347455
72,0.280539948278069
73,0.840834671420432
74,0.524874128455834
75,0.619103575558065
76,0.807145479362167
77,0.725486067638244
78,0.341399831099727
79,0.278225089054266
80,0.619047613328403
81,0.582732002635323
82,0.692635607396145
83,0.513586934599218
84,0.655781683948972
85,0.505164143027495
86,0.537147789207949
87,0.682234812011805
88,0.737383821358929
89,0.242515781115702
90,0.441632013676663
91,0.75949848842798
92,0.785927006045574
93,0.579710648573892
94,0.703255820985676
95,0.601942973098753
96,0.839131017478392
97,0.777486391399116
98,0.600672980750146
99,0.804998952457718
100,0.531711193819225
101,0.725777169983454
